university_code,university_name
AA,Altoona
AAMU,Alabama A&M University 
AB,Alderson-Broaddus College 
ABCONLINE,Arlington Baptist College 
ABINGTON,Abington
ABOUT,Ferris State University 
ACA,Atlanta College of Art 
ACC,Atlanta Christian College 
ACME,High Point University 
ACP,Albany College of Pharmacy 
ACU,Abilene Christian University 
ADAMS,Adams State College 
ADELPHI,Adelphi University 
ADLER,Adler School of Professional Psychology 
ADRIAN,Adrian College 
AFIT,Air Force Institute of Technology 
AGUADILLA,Aguadilla Campus
AIC,American International College 
AICAG,American Indian College of the Assemblies of God 
AIUNIV,American InterContinental University 
AKBIBLE,Alaska Bible College 
ALASKA,University of Alaska System 
ALASKAPACIFIC,Alaska Pacific University 
ALASU,Alabama State University 
ALBANY,Albany
ALBERTSON,Albertson College of Idaho 
ALBERTUS,Albertus Magnus College 
ALBION,Albion College 
ALBIZU,Carlos Albizu University 
ALBRIGHT,Albright College 
ALC,Alice Lloyd College 
ALCORN,Alcorn State University 
ALFRED,Alfred University 
ALFREDADLER,Alfred Adler Institute 
ALFREDSTATE,College of Technology at Alfred 
ALLEG,Allegheny College 
ALLENCOLLEGE,Allen College
ARIZONA,University of Arizona 
ASTATE,Arkansas State University
ASU,Arizona State University 
ASUWEB,Albany State University
ATHENS,Athens State University 
ATL,DeVry University-Georgia 
BINGHAMTON,Binghamton
BIOLA,Biola University 
BJU,Bob Jones University 
BK,Berks
BLACKBURN,Blackburn College 
BLC,Bethany Lutheran College 
BLOOMFIELD,Bloomfield College 
BLOOMU,Bloomsburg University of Pennsylvania 
BLUEFIELD,Bluefield College 
BLUEFIELD,Bluefield State College 
BLUFFTON,Bluffton University 
BMATS,Baptist Missionary Association Theological Seminary 
BMC,Blue Mountain College 
BORICUACOLLEGE,Boricua College 
BOSTONCONSERVATORY,Boston Conservatory 
BOWDOIN,Bowdoin College 
BOWIESTATE,Bowie State University 
BPC,Brewton-Parker College 
BR,Beaver
BR,Barranquitas Campus
BRADLEY,Bradley University 
BRANDEIS,Brandeis University 
BRENAU,Brenau University 
BRESCIA,Brescia University 
BREVARD,Brevard College 
BRIARCLIFF,Briar Cliff College 
BRIDGEPORT,University of Bridgeport 
BRIDGEW,Bridgewater State College 
BRIDGEWATER,Bridgewater College 
BROCKPORT,College at Brockport
BROOKLYN,Brooklyn College
BROOKLYN,Brooklyn Campus
BROWN,Brown University 
BRYAN,Bryan College 
BRYANT,Bryant College 
BRYNATHYN,Bryn Athyn College of the New Church 
BRYNMAWR,Bryn Mawr College 
BSC,Birmingham-Southern College 
BSU,Ball State University 
BU,Boston University 
BUCKNELL,Bucknell University 
BUFFALO,Buffalo
BUFFALOSTATE,College at Buffalo 
BURLCOL,Burlington College 
BUTLER,Butler University 
BVU,Buena Vista University 
BW,Baldwin-Wallace College 
BYU,Brigham Young University 
BYUH,Brigham Young University-Hawaii 
BYUI,Brigham Young University-Idaho 
CABRINI,Cabrini College 
CALTECH,California Institute of Technology 
CALUMET,Purdue University Calumet
CALVARY,Calvary Bible College & Theological Seminary 
CALVIN,Calvin College 
CAMBRIDGECOLLEGE,Cambridge College 
CAMDEN,Camden
CAMEL,Connecticut College 
CAMERON,Cameron University 
CAMPBELL,Campbell University 
CAMPBELLSVILLE,Campbellsville University 
CANISIUS,Canisius College 
CANTON,College of Technology at Canton
CAPELLA,Capella University 
CAPITAL,Capital University 
CAPITOL-COLLEGE,Capitol College 
CARIBBEAN,Caribbean University 
CARLETON,Carleton College 
CARLISLE,United States Army War College 
CARLOW,Carlow College 
CARROLL,Carroll College 
CARTHAGE,Carthage College 
CATAWBA,Catawba College 
CAU,Clark Atlanta University 
CAYEY,Cayey
CAZENOVIA,Cazenovia College 
CBC,Central Baptist College 
CBCAG,Central Bible College 
CBU,Christian Brothers University 
